source,name,brand,category,num_images,price,market_price,discount_amount,discount_percent,has_discount,sold_count,stock_quantity,scraped_at
hasaki,Combo 2 Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml,Marvis,Chăm Sóc Cá Nhân,7,417000,558000,141000,25.27,1,0,9714,2026-06-09T13:24:44+07:00
hasaki,Kem Đánh Răng Marvis Dreamy Osmanthus 75ml,Marvis,Chăm Sóc Cá Nhân,5,197000,275000,78000,28.36,1,10,700,2026-06-09T13:24:21+07:00
hasaki,Kem Đánh Răng Marvis Kissing Rose 75ml,Marvis,Chăm Sóc Cá Nhân,5,198000,275000,77000,28,1,6,55,2026-06-09T13:24:29+07:00
hasaki,Kem Đánh Răng Marvis Màu Bạc Cho Người Hút Thuốc 85ml,Marvis,Chăm Sóc Cá Nhân,7,208000,279000,71000,25.45,1,18,903,2026-06-09T13:24:17+07:00
hasaki,Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml,Marvis,Chăm Sóc Cá Nhân,7,195000,279000,84000,30.11,1,144,19592,2026-06-09T13:24:04+07:00
hasaki,Kem Đánh Răng Marvis Màu Tím Chiết Xuất Hoa Nhài 85ml,Marvis,Chăm Sóc Cá Nhân,7,198000,259000,61000,23.55,1,22,1797,2026-06-09T13:24:13+07:00
hasaki,Kem Đánh Răng Marvis Màu Xanh Dương Hương Dưa Gang 85ml,Marvis,Chăm Sóc Cá Nhân,8,209000,259000,50000,19.31,1,0,487,2026-06-09T13:24:47+07:00
hasaki,Kem Đánh Răng Marvis Màu Xanh Lá Hương Bạc Hà 85ml,Marvis,Chăm Sóc Cá Nhân,7,184000,259000,75000,28.96,1,9,705,2026-06-09T13:24:24+07:00
hasaki,Kem Đánh Răng Marvis Màu Đen Từ Cam Thảo Và Than Tre 85ml,Marvis,Chăm Sóc Cá Nhân,7,198000,259000,61000,23.55,1,9,292,2026-06-09T13:24:23+07:00
hasaki,Kem Đánh Răng Marvis Màu Đỏ Hương Quế Cay Nồng 85ml,Marvis,Chăm Sóc Cá Nhân,7,181000,259000,78000,30.12,1,12,205,2026-06-09T13:24:20+07:00
hasaki,Kem Đánh Răng Marvis Sinuous Lily 75ml,Marvis,Chăm Sóc Cá Nhân,6,208000,275000,67000,24.36,1,5,859,2026-06-09T13:24:32+07:00
hasaki,[Mini] Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 10ml,Marvis,Chăm Sóc Cá Nhân,3,50000,50000,0,0,0,30,3105,2026-06-09T13:24:27+07:00
hasaki,[Mini] Kem Đánh Răng Marvis Màu Xanh Lá Hương Bạc Hà 10ml,Marvis,Chăm Sóc Cá Nhân,3,40000,50000,10000,20,1,15,5969,2026-06-09T13:24:38+07:00
hasaki,[Mini] Kem Đánh Răng Marvis Màu Đỏ Hương Quế Cay Nồng 25ml,Marvis,Chăm Sóc Cá Nhân,5,50000,50000,0,0,0,0,0,2026-06-09T13:25:06+07:00
hasaki,Bông Bọt Biển Tẩy Tế Bào Chết Mira Suri E279,Suri,Chăm Sóc Cơ Thể,4,41000,50000,9000,18,1,17,877,2026-06-09T12:11:34+07:00
hasaki,Bơ Dưỡng Thể Cocoon Chiết Xuất Cà Phê Đắk Lắk 200ml,Cocoon,Chăm Sóc Cơ Thể,8,166000,215000,49000,22.79,1,0,0,2026-06-09T12:26:11+07:00
hasaki,Bọt Tắm Bioré Siêu Mịn Thanh Lọc Thuần Khiết 540ml,Bioré,Chăm Sóc Cơ Thể,5,290000,295000,5000,1.69,1,0,13,2026-06-09T12:19:26+07:00
hasaki,Bộ Kutieskin Sữa Tắm Gội 200ml + Kem Dưỡng Ẩm 30g + Tinh Dầu Bạch Đàn Chanh 5ml,Kutieskin,Chăm Sóc Cơ Thể,5,199000,365000,166000,45.48,1,1,0,2026-06-09T10:38:32+07:00
hasaki,Bột Thảo Mộc Moaw Moaws Dưỡng Sáng Tối Ưu 500g,Moaw Moaws,Chăm Sóc Cơ Thể,6,130000,130000,0,0,0,0,3683,2026-06-09T12:15:08+07:00
hasaki,Chà Gót Chân Hotosu Đa Chiều Cao Cấp Màu Trắng,Hotosu,Chăm Sóc Cơ Thể,11,59000,99000,40000,40.4,1,4,4385,2026-06-09T12:14:08+07:00
hasaki,Chà Gót Chân Hotosu Đa Chiều Cao Cấp Màu Đen,Hotosu,Chăm Sóc Cơ Thể,11,59000,99000,40000,40.4,1,9,5173,2026-06-09T12:12:23+07:00
hasaki,Combo 2 Bột Thảo Mộc Moaw Moaws Dưỡng Sáng Tối Ưu 500g,Moaw Moaws,Chăm Sóc Cơ Thể,6,260000,260000,0,0,0,0,1801,2026-06-09T12:15:56+07:00
hasaki,"Combo 2 Dầu Dưỡng Thể Moaw Moaws Cấp Ẩm Chuyên Sâu, Sáng Da 150ml",Moaw Moaws,Chăm Sóc Cơ Thể,5,492000,492000,0,0,0,0,2085,2026-06-09T12:15:36+07:00
hasaki,Combo 2 Gel Tắm Cocoon Đường Thốt Nốt An Giang 500ml,Cocoon,Chăm Sóc Cơ Thể,8,244000,430000,186000,43.26,1,0,2507,2026-06-09T12:15:23+07:00
hasaki,Combo 2 Kem Dưỡng Neothera Sáng Da Giảm Thâm Vùng Nách 35ml,Neothera,Chăm Sóc Cơ Thể,7,370000,412000,42000,10.19,1,19,3500,2026-06-09T12:04:49+07:00
hasaki,"Combo 2 Kem Dưỡng Thể BareSoul Làm Sáng, Giảm Thâm 50g",BareSoul,Chăm Sóc Cơ Thể,9,426000,640000,214000,33.44,1,0,355,2026-06-09T12:17:52+07:00
hasaki,"Combo 2 Kem Dưỡng Thể GlowCode Giúp Da Sáng Mịn, Mờ Thâm 30g",GlowCode,Chăm Sóc Cơ Thể,10,135000,258000,123000,47.67,1,1,20,2026-06-09T12:14:33+07:00
hasaki,"Combo 2 Kem Tẩy Lông GlowCode Giúp Lông Mọc Thưa, Cấp Ẩm, Sáng Da 70g",GlowCode,Chăm Sóc Cơ Thể,7,115000,218000,103000,47.25,1,2,0,2026-06-09T12:23:50+07:00
hasaki,Combo 2 Lotion Chống Nắng Sunplay Dưỡng Thể Mát Lạnh 150g,Sunplay,Chăm Sóc Cơ Thể,8,305000,436000,131000,30.05,1,3,2001,2026-06-09T12:11:29+07:00
hasaki,Combo 2 Lotion Chống Nắng Sunplay Dưỡng Thể Sáng Mịn 150g,Sunplay,Chăm Sóc Cơ Thể,8,348000,436000,88000,20.18,1,7,1863,2026-06-09T12:08:02+07:00
hasaki,Combo 2 Lăn Khử Mùi Deonatulle Đá Khoáng Trắng Không Màu 20g,Deonatulle,Chăm Sóc Cơ Thể,8,638000,638000,0,0,0,0,0,2026-06-09T12:20:17+07:00
hasaki,Combo 2 Lăn Khử Mùi Nivea Extra Brightening Sáng Mịn Tối Ưu 50ml,Nivea,Chăm Sóc Cơ Thể,8,133000,184000,51000,27.72,1,2,1956,2026-06-09T12:14:09+07:00
hasaki,Combo 2 Lăn Khử Mùi Nivea Ngọc Trai Dưỡng Da Sáng Mịn 50ml,Nivea,Chăm Sóc Cơ Thể,9,128000,184000,56000,30.43,1,6,743,2026-06-09T12:11:36+07:00
hasaki,Combo 2 Lăn Khử Mùi Nivea Sáng Mịn Se Khít Lỗ Chân Lông 50ml,Nivea,Chăm Sóc Cơ Thể,10,153000,184000,31000,16.85,1,0,677,2026-06-09T12:17:03+07:00
hasaki,Combo 2 Lăn Khử Mùi Refre Natural Hương Trà Xanh 40ml,Refre,Chăm Sóc Cơ Thể,7,104000,136000,32000,23.53,1,0,949,2026-06-09T12:16:38+07:00
hasaki,Combo 2 Lăn Ngăn Mùi Dove Tinh Chất Serum Sáng Mịn Đều Màu 45ml,Dove,Chăm Sóc Cơ Thể,8,140000,194000,54000,27.84,1,28,1788,2026-06-09T12:06:31+07:00
hasaki,Combo 2 Lăn Ngăn Mùi Dove Tinh Chất Serum Thu Nhỏ Lỗ Chân Lông 45ml,Dove,Chăm Sóc Cơ Thể,9,140000,194000,54000,27.84,1,12,864,2026-06-09T12:08:40+07:00
hasaki,Combo 2 Lăn Ngăn Mùi Nivea Men Than Hoạt Tính Hương Năng Động 50ml,Nivea,Chăm Sóc Cơ Thể,11,118000,192000,74000,38.54,1,3,110,2026-06-09T12:13:28+07:00
hasaki,Combo 2 Mặt Nạ Serum Dưỡng Thể Vaseline Căng Mướt 300ml (Mới),Vaseline,Chăm Sóc Cơ Thể,9,218000,300000,82000,27.33,1,20,3499,2026-06-09T12:06:19+07:00
hasaki,Combo 2 Serum Chống Nắng Dưỡng Thể Bioré Dưỡng Ẩm Vượt Trội 150ml,Bioré,Chăm Sóc Cơ Thể,4,278000,432000,154000,35.65,1,0,223,2026-06-09T12:18:22+07:00
hasaki,Combo 2 Serum Chống Nắng Dưỡng Thể Bioré Sáng Da Mịn Màng 150ml,Bioré,Chăm Sóc Cơ Thể,6,279000,432000,153000,35.42,1,18,622,2026-06-09T12:05:49+07:00
hasaki,Combo 2 Serum Chống Nắng Dưỡng Thể Bioré Sáng Mịn Mát Lạnh 150ml,Bioré,Chăm Sóc Cơ Thể,6,279000,432000,153000,35.42,1,47,1256,2026-06-09T12:03:41+07:00
hasaki,"Combo 2 Serum Dưỡng Thể Nivea Sáng Da, Mờ Thâm Nám 300ml",Nivea,Chăm Sóc Cơ Thể,11,314000,378000,64000,16.93,1,0,8989,2026-06-09T12:14:48+07:00
hasaki,Combo 2 Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml,Vaseline,Chăm Sóc Cơ Thể,7,277000,406000,129000,31.77,1,9,6165,2026-06-09T12:07:51+07:00
hasaki,Combo 2 Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml,Dove,Chăm Sóc Cơ Thể,7,140000,210000,70000,33.33,1,58,4531,2026-06-09T12:04:31+07:00
hasaki,Combo 2 Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml,Dove,Chăm Sóc Cơ Thể,8,140000,210000,70000,33.33,1,33,3398,2026-06-09T12:06:01+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 280g,Dove,Chăm Sóc Cơ Thể,5,279000,492000,213000,43.29,1,0,1864,2026-06-09T12:15:47+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g,Dove,Chăm Sóc Cơ Thể,10,281000,398000,117000,29.4,1,114,8067,2026-06-09T12:02:48+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 280g,Dove,Chăm Sóc Cơ Thể,5,279000,492000,213000,43.29,1,0,1760,2026-06-09T12:15:59+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g,Dove,Chăm Sóc Cơ Thể,10,281000,398000,117000,29.4,1,303,7422,2026-06-09T12:02:25+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 280g,Dove,Chăm Sóc Cơ Thể,5,279000,492000,213000,43.29,1,0,1605,2026-06-09T12:16:08+07:00
hasaki,Combo 2 Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,Dove,Chăm Sóc Cơ Thể,10,281000,398000,117000,29.4,1,96,3844,2026-06-09T12:02:53+07:00
hasaki,Combo 2 Sáp Ngăn Mùi Romano Classic Giảm Tiết Mồ Hôi 50g,Romano,Chăm Sóc Cơ Thể,6,120000,159000,39000,24.53,1,0,269,2026-06-09T12:18:09+07:00
hasaki,Combo 2 Sáp Ngăn Mùi Romano Force Giảm Tiết Mồ Hôi 50g,Romano,Chăm Sóc Cơ Thể,6,120000,160000,40000,25,1,0,242,2026-06-09T12:18:18+07:00
hasaki,Combo 2 Sáp Ngăn Mùi Romano Grandiose Giảm Tiết Mồ Hôi 50g,Romano,Chăm Sóc Cơ Thể,6,120000,160000,40000,25,1,0,264,2026-06-09T12:18:12+07:00
hasaki,Combo 2 Sữa Dưỡng Thể Nivea Dưỡng Ẩm Chuyên Sâu 48H 500ml,Nivea,Chăm Sóc Cơ Thể,9,320000,378000,58000,15.34,1,0,1672,2026-06-09T12:16:07+07:00
hasaki,Combo 2 Sữa Dưỡng Thể Nivea Phục Hồi & Chống Nắng Ban Ngày 350ml,Nivea,Chăm Sóc Cơ Thể,11,215000,298000,83000,27.85,1,6,458,2026-06-09T12:09:16+07:00
hasaki,Combo 2 Sữa Dưỡng Thể Nivea Phục Hồi & Dưỡng Sáng Da Ngày & Đêm (350ml/chai),Nivea,Chăm Sóc Cơ Thể,11,196000,266000,70000,26.32,1,95,942,2026-06-09T12:03:09+07:00
hasaki,Combo 2 Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm 350ml,Nivea,Chăm Sóc Cơ Thể,12,193000,294000,101000,34.35,1,181,8912,2026-06-09T12:02:42+07:00
