source,product_id,sku,name,english_name,brand,url,image,num_images,market_price,price,discount_percent,has_voucher,voucher_text,price_min,price_max,rating_average,sold_count,sold_count_30d,comment_count,comment_with_image_count,review_count,star_breakdown,category_path,product_type,tags,stock_quantity,num_variants,promotion_text,announce_number,available,crawl_category_key,crawl_category_name,scraped_at,num_comments_sampled,num_reviews_sampled,seen_in_categories
lamthao,1066637415,,Bông Tắm Tạo Bọt Làm Sạch Da Jary Loofah Bath Sponge,,Jary,https://lamthaocosmetics.vn/products/bong-tam-tao-bot-lam-sach-da-jary-loofah-bath-sponge,https://product.hstatic.net/200000868185/product/bong_tam_trai_cay_jary_loofah_bath_sponge_6bc98162beed494aa4d09fda36822ec1.jpg,3,39000,25000,36,True,,25000,35000,,2675,,,,,,Bông tắm / Dụng Cụ Chăm Sóc Cá Nhân,Dụng Cụ Chăm Sóc Cá Nhân,"B|ô|n|g| |T|ắ|m| |T|ạ|o| |B|ọ|t| |L|à|m| |S|ạ|c|h| |D|a| |J|a|r|y| |L|o|o|f|a|h| |B|a|t|h| |S|p|o|n|g|e|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|J|a|r|y| |L|o|o|f|a|h| |B|a|t|h| |S|p|o|n|g|e|,|A|L|L|,|B|T|,|D|C|L|D",1,2,,,True,bong-tam,Bông tắm,2026-06-09T08:52:55+07:00,0,0,Bông tắm|Dụng Cụ Làm Đẹp|Jary|NHÓM KHÔNG CHẠY KPI NĂM 2025
lamthao,1067317358,,Máy Cạo Râu 2 Lưỡi Kép Flyco,,Flyco,https://lamthaocosmetics.vn/products/may-cao-rau-2-luoi-kep-flyco,https://product.hstatic.net/200000868185/product/fs879vn_3acd4490407c49a6845c23c5195d5e6d.jpg,1,349000,299000,14,True,,299000,299000,,123,,,,,,Máy Cạo Râu / Dụng cụ - Thiết bị,Dụng cụ - Thiết bị,"M|á|y| |C|ạ|o| |R|â|u| |2| |L|ư|ỡ|i| |K|é|p| |F|l|y|c|o|,|L|T|B|,|T|B|L|Đ|,|F|l|y|c|o| | |F|S|8|7|9|V|N|,|A|L|L|,|M|C|R",0,1,,,False,may-cao-rau,Máy Cạo Râu,2026-06-09T08:52:56+07:00,0,0,Máy Cạo Râu|NHÓM KHÔNG CHẠY KPI NĂM 2025
lamthao,1067317303,,Máy Cạo Râu 3 Lưỡi Kép Flyco,,Flyco,https://lamthaocosmetics.vn/products/may-cao-rau-3-luoi-kep-flyco,https://product.hstatic.net/200000868185/product/may_cao_rau_3_luoi_kep_flyco__fs165vn__1__834edc3afe9b4aebb92d8da97f0e10b2.jpg,3,589000,429000,27,True,,429000,599000,,80,,,,,,Máy Cạo Râu / Dụng cụ - Thiết bị,Dụng cụ - Thiết bị,"L|T|B|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|T|B|L|Đ|,|A|L|L|,|M|C|R",0,2,,,False,may-cao-rau,Máy Cạo Râu,2026-06-09T08:52:56+07:00,0,0,Máy Cạo Râu|NHÓM KHÔNG CHẠY KPI NĂM 2025
lamthao,1054072506,,Máy Đẩy Tinh Chất Hỗ Trợ Làm Sạch Se Khít Lỗ Chân Lông Halio Ion Hot & Cool Beauty Device,,Halio,https://lamthaocosmetics.vn/products/may-day-tinh-chat-ho-tro-lam-sach-se-khit-lo-chan-long-halio-ion-hot-cool-beauty-device,https://product.hstatic.net/200000868185/product/thao_vi_-_2024-05-28t094445.017_7709d666c241438c8c784de0a2b4fa16.png,3,2600000,1999000,23,True,,1999000,1999000,,21,,,,,,Thanh Lăn/Máy Đẩy Tinh Chất / Thiết bị làm đẹp,Thiết bị làm đẹp,"M|á|y| |Đ|ẩ|y| |T|i|n|h| |C|h|ấ|t| |H|ỗ| |T|r|ợ| |L|à|m| |S|ạ|c|h| |S|e| |K|h|í|t| |L|ỗ| |C|h|â|n| |L|ô|n|g| |H|a|l|i|o| |I|o|n| |H|o|t| |&| |C|o|o|l| |B|e|a|u|t|y| |D|e|v|i|c|e|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|L|T|B|,|H|a|l|i|o| |I|o|n| |H|o|t| |&| |C|o|o|l| |B|e|a|u|t|y| |D|e|v|i|c|e|,|A|L|L|,|T|B|L|Đ|,|M|D|T|C",1,2,,,True,thanh-lan-may-day-tinh-chat,Thanh Lăn/Máy Đẩy Tinh Chất,2026-06-09T08:52:57+07:00,0,0,Thanh Lăn/Máy Đẩy Tinh Chất
lamthao,1056951525,,Máy Sấy Tóc Flyco,,Flyco,https://lamthaocosmetics.vn/products/may-say-toc-flyco,https://product.hstatic.net/200000868185/product/xanh_mint_flyco_ef3165685628498bbb62f25b90a33ebe.jpg,3,359000,269000,25,True,,269000,449000,,430,,,,,,Máy Sấy Tóc / Dụng cụ - Thiết bị,Dụng cụ - Thiết bị,"T|B|L|Đ|,|M|á|y| |S|ấ|y| |T|ó|c| |F|l|y|c|o|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|L|T|B|,|M|S|T|,|A|L|L",20,3,,,True,may-say-toc,Máy Sấy Tóc,2026-06-09T08:52:57+07:00,0,0,Máy Sấy Tóc|NHÓM KHÔNG CHẠY KPI NĂM 2025
lamthao,1063663332,,Máy Sấy Tóc Ion Âm Jary Hair Dryer,,Jary,https://lamthaocosmetics.vn/products/may-say-toc-ion-am-jary-hair-dryer,https://product.hstatic.net/200000868185/product/1_c8828b020e1f4cd391854cb987ec13f7.jpg,4,470000,349000,26,True,,349000,349000,,497,,,,,,Máy Sấy Tóc / Thiết bị làm đẹp,Thiết bị làm đẹp,"T|B|L|Đ|,|L|T|B|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|M|á|y| |S|ấ|y| |T|ó|c| |I|o|n| |Â|m| |J|a|r|y| |H|a|i|r| |D|r|y|e|r|,|M|S|T|,|A|L|L",0,3,,,False,may-say-toc,Máy Sấy Tóc,2026-06-09T08:52:57+07:00,0,0,Máy Sấy Tóc|Jary
lamthao,1054066809,,"Máy Sấy Tóc Luân Phiên Nóng Lạnh, Bảo Vệ Da Đầu Halio Hypersonic Hair Dryer",,Halio,https://lamthaocosmetics.vn/products/may-say-toc-luan-phien-nong-lanh-bao-ve-da-dau-halio-hypersonic-hair-dryer,https://product.hstatic.net/200000868185/product/thao_vi_-_2024-05-28t101014.401_1f72ad63f669456385031f2e2bee07f7.png,1,,5000000,0,,,5000000,5000000,,3,,,,,,Máy Sấy Tóc / Thiết bị làm đẹp,Thiết bị làm đẹp,"L|T|B|,|H|a|l|i|o| |H|y|p|e|r|s|o|n|i|c| |H|a|i|r| |D|r|y|e|r|,|T|B|L|Đ|,|A|L|L|,|M|S|T",0,1,,,False,may-say-toc,Máy Sấy Tóc,2026-06-09T08:52:57+07:00,0,0,Máy Sấy Tóc
lamthao,1063194724,,Máy Bấm Tóc Jary Hair Crimper,,Jary,https://lamthaocosmetics.vn/products/may-bam-toc-jary-hair-crimper,https://product.hstatic.net/200000868185/product/may_bam_toc_jary_hair_crimper_ac5c75aad1d249249eb67a67f5b6544d.jpg,3,498000,245000,51,True,,245000,245000,,495,,,,,,Máy Làm Tóc / Thiết bị làm đẹp,Thiết bị làm đẹp,"M|á|y| |B|ấ|m| |T|ó|c| |J|a|r|y| |H|a|i|r| |C|r|i|m|p|e|r|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|L|T|B|,|J|a|r|y| |H|a|i|r| |C|r|i|m|p|e|r|,|M|á|y| |B|ấ|m| |T|ó|c| |J|a|r|y|,|D|C|T|B|,|T|B|L|Đ|,|M|L|T|,|A|L|L",25,3,,,True,may-lam-toc,Máy Làm Tóc,2026-06-09T08:52:58+07:00,0,0,Máy Làm Tóc|Jary
lamthao,1065112524,,Máy Bấm Tóc Sóng Nước Jary Water Wave Hair Crimper,,Jary,https://lamthaocosmetics.vn/products/may-bam-toc-song-nuoc-jary-water-wave-hair-crimper,https://product.hstatic.net/200000868185/product/may_bam_toc_song_nuoc_jary_water_wave_hair_crimper_7789244fa44646f18617f8b46234318e.jpg,4,399000,269000,33,True,,269000,269000,,324,,,,,,Máy Làm Tóc / Thiết bị làm đẹp,Thiết bị làm đẹp,"L|T|B|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|T|B|L|Đ|,|M|á|y| |B|ấ|m| |T|ó|c| |S|ó|n|g| |N|ư|ớ|c| |J|a|r|y| |W|a|t|e|r| |W|a|v|e| |H|a|i|r| |C|r|i|m|p|e|r|,|M|á|y| |B|ấ|m| |T|ó|c| |S|ó|n|g| |N|ư|ớ|c| |J|a|r|y|,|M|L|T|,|A|L|L",21,3,,,True,may-lam-toc,Máy Làm Tóc,2026-06-09T08:52:58+07:00,0,0,Máy Làm Tóc|Jary
lamthao,1063194789,,Máy Duỗi Tóc Jary Hair Straightener,,Jary,https://lamthaocosmetics.vn/products/may-duoi-toc-jary-hair-straightener,https://product.hstatic.net/200000868185/product/may_bam_toc_jary_hair_crimper__1__f9531701927449469d9214a4030c5638.jpg,3,429000,259000,40,True,,259000,259000,,487,,,,,,Máy Làm Tóc / Thiết bị làm đẹp,Thiết bị làm đẹp,"L|T|B|,|T|B|L|Đ|,|M|á|y| |D|u|ỗ|i| |T|ó|c| |J|a|r|y| |H|a|i|r| |S|t|r|a|i|g|h|t|e|n|e|r|,|k|h|o|n|g|t|a|c|h|b|i|e|n|t|h|e|,|M|L|T|,|A|L|L",3,2,,,True,may-lam-toc,Máy Làm Tóc,2026-06-09T08:52:58+07:00,0,0,Máy Làm Tóc|Jary
